Metro,Year,Population
Houston,2006,5448766
Miami,2006,5429748
D.C.,2006,5245137
Atlanta,2006,4942033
Phoenix,2006,3966753
Charlotte,2006,1909025
Dallas-Fort Worth,2007,6025041
Philadelphia,2007,5882126
Houston,2007,5566601
Miami,2007,5422987
D.C.,2007,5298889
Atlanta,2007,5077108
Phoenix,2007,4071380
Charlotte,2007,1983402
Dallas-Fort Worth,2008,6152770
Philadelphia,2008,5906917
Houston,2008,5702270
Miami,2008,5454633
D.C.,2008,5370627
Atlanta,2008,5181202
Phoenix,2008,4159809
Charlotte,2008,2045569
Dallas-Fort Worth,2009,6282484
Philadelphia,2009,5941539
Houston,2009,5852194
Miami,2009,5504624
D.C.,2009,5473009
Atlanta,2009,5252318
Phoenix,2009,4207170
Charlotte,2009,2087252
Dallas-Fort Worth,2010,6391598
Philadelphia,2010,5974863
Houston,2010,5973715
D.C.,2010,5592592
Miami,2010,5582815
Atlanta,2010,5315957
Phoenix,2010,4253769
Charlotte,2010,2112896
Dallas-Fort Worth,2011,6508182
Houston,2011,6082116
Philadelphia,2011,6014505
D.C.,2011,5703828
Miami,2011,5664949
Atlanta,2011,5383095
Phoenix,2011,4287283
Charlotte,2011,2143707
Dallas-Fort Worth,2012,6639650
Houston,2012,6208369
Philadelphia,2012,6048366
D.C.,2012,5806800
Miami,2012,5738871
Atlanta,2012,5462989
Phoenix,2012,4347485
Charlotte,2012,2179652
Dallas-Fort Worth,2013,6745102
Houston,2013,6350806
Philadelphia,2013,6075341
D.C.,2013,5896850
Miami,2013,5811966
Atlanta,2013,5530136
Phoenix,2013,4404259
Charlotte,2013,2218017
Dallas-Fort Worth,2014,6878372
Houston,2014,6521950
Philadelphia,2014,6106634
D.C.,2014,5973288
Miami,2014,5879524
Atlanta,2014,5615481
Phoenix,2014,4472931
Charlotte,2014,2256951
Dallas-Fort Worth,2015,7024522
Houston,2015,6689525
Philadelphia,2015,6129049
D.C.,2015,6039697
Miami,2015,5950008
Atlanta,2015,5706398
Phoenix,2015,4544270
Charlotte,2015,2300720
Dallas-Fort Worth,2016,7175057
Houston,2016,6824285
Philadelphia,2016,6152886
D.C.,2016,6102279
Miami,2016,6031657
Atlanta,2016,5811725
Phoenix,2016,4620570
Charlotte,2016,2349561
Dallas-Fort Worth,2017,7313916
Houston,2017,6915515
Philadelphia,2017,6178624
D.C.,2017,6171099
Miami,2017,6088445
Atlanta,2017,5900461
Phoenix,2017,4686417
Charlotte,2017,2397233
Dallas-Fort Worth,2018,7429700
Houston,2018,6989505
D.C.,2018,6215031
Philadelphia,2018,6206316
Miami,2018,6109345
Atlanta,2018,5975821
Phoenix,2018,4757150
Charlotte,2018,2437481
Dallas-Fort Worth,2019,7543367
Houston,2019,7076196
D.C.,2019,6261957
Philadelphia,2019,6227555
Miami,2019,6129589
Atlanta,2019,6053973
Phoenix,2019,4838080
Charlotte,2019,2478340
Dallas-Fort Worth,2020,7667594
Houston,2020,7169728
D.C.,2020,6274336
Philadelphia,2020,6242247
Miami,2020,6133458
Atlanta,2020,6121086
Phoenix,2020,4928983
Charlotte,2020,2517447
Dallas-Fort Worth,2021,7776611
Houston,2021,7246956
D.C.,2021,6273197
Philadelphia,2021,6254344
Atlanta,2021,6160570
Miami,2021,6109080
Phoenix,2021,5002792
Charlotte,2021,2551893
Dallas-Fort Worth,2022,7973603
Houston,2022,7403068
D.C.,2022,6303823
Atlanta,2022,6253070
Philadelphia,2022,6250962
Miami,2022,6170835
Phoenix,2022,5083860
Charlotte,2022,2602152
Dallas-Fort Worth,2023,8166110
Houston,2023,7598011
D.C.,2023,6360016
Atlanta,2023,6336015
Philadelphia,2023,6277169
Miami,2023,6247134
Phoenix,2023,5156080
Charlotte,2023,2658854
Dallas-Fort Worth,2024,8344032
Houston,2024,7796182
Miami,2024,6457988
D.C.,2024,6450741
Atlanta,2024,6411149
Philadelphia,2024,6330422
Phoenix,2024,5241031
Charlotte,2024,2716963
