county,month_year,total_sales
Clayton,2018-04,518
Clayton,2018-05,533
Clayton,2018-06,547
Clayton,2018-07,532
Clayton,2018-08,492
Clayton,2018-09,539
Clayton,2018-10,500
Clayton,2018-11,429
Clayton,2018-12,401
Clayton,2019-01,436
Clayton,2019-02,376
Clayton,2019-03,456
Clayton,2019-04,452
Clayton,2019-05,577
Clayton,2019-06,576
Clayton,2019-07,571
Clayton,2019-08,595
Clayton,2019-09,486
Clayton,2019-10,615
Clayton,2019-11,523
Clayton,2019-12,579
Clayton,2020-01,477
Clayton,2020-02,436
Clayton,2020-03,451
Clayton,2020-04,424
Clayton,2020-05,389
Clayton,2020-06,424
Clayton,2020-07,527
Clayton,2020-08,539
Clayton,2020-09,552
Clayton,2020-10,601
Clayton,2020-11,532
Clayton,2020-12,679
Clayton,2021-01,450
Clayton,2021-02,470
Clayton,2021-03,568
Clayton,2021-04,597
Clayton,2021-05,552
Clayton,2021-06,634
Clayton,2021-07,571
Clayton,2021-08,626
Clayton,2021-09,664
Clayton,2021-10,571
Clayton,2021-11,690
Clayton,2021-12,685
Clayton,2022-01,524
Clayton,2022-02,552
Clayton,2022-03,733
Clayton,2022-04,676
Clayton,2022-05,697
Clayton,2022-06,678
Clayton,2022-07,610
Clayton,2022-08,618
Clayton,2022-09,543
Clayton,2022-10,491
Clayton,2022-11,386
Clayton,2022-12,352
Clayton,2023-01,267
Clayton,2023-02,320
Clayton,2023-03,461
Clayton,2023-04,414
Clayton,2023-05,410
Clayton,2023-06,349
Clayton,2023-07,327
Clayton,2023-08,456
Clayton,2023-09,358
Clayton,2023-10,370
Clayton,2023-11,324
Clayton,2023-12,376
Clayton,2024-01,337
Clayton,2024-02,300
Clayton,2024-03,341
Clayton,2024-04,374
Clayton,2024-05,395
Clayton,2024-06,363
Clayton,2024-07,385
Clayton,2024-08,368
Clayton,2024-09,330
Clayton,2024-10,379
Clayton,2024-11,300
Clayton,2024-12,315
Clayton,2025-01,310
Clayton,2025-02,238
Clayton,2025-03,314
Clayton,2025-04,340
Clayton,2025-05,310
Clayton,2025-06,304
Clayton,2025-07,365
Clayton,2025-08,339
Clayton,2025-09,346
Clayton,2025-10,334
Clayton,2025-11,246
Clayton,2025-12,293
Cobb,2013-01,1034
Cobb,2013-02,1023
Cobb,2013-03,1147
Cobb,2013-04,1352
Cobb,2013-05,1311
Cobb,2013-06,1552
Cobb,2013-07,1450
Cobb,2013-08,1722
Cobb,2013-09,1333
Cobb,2013-10,1508
Cobb,2013-11,1136
Cobb,2013-12,1183
Cobb,2014-01,987
Cobb,2014-02,976
Cobb,2014-03,1215
Cobb,2014-04,1384
Cobb,2014-05,1594
Cobb,2014-06,1676
Cobb,2014-07,1726
Cobb,2014-08,1621
Cobb,2014-09,1412
Cobb,2014-10,1267
Cobb,2014-11,1092
Cobb,2014-12,1233
Cobb,2015-01,953
Cobb,2015-02,906
Cobb,2015-03,1272
Cobb,2015-04,1532
Cobb,2015-05,1530
Cobb,2015-06,1789
Cobb,2015-07,1824
Cobb,2015-08,1717
Cobb,2015-09,1396
Cobb,2015-10,1401
Cobb,2015-11,1118
Cobb,2015-12,1318
Cobb,2016-01,984
Cobb,2016-02,1083
Cobb,2016-03,1428
Cobb,2016-04,1442
Cobb,2016-05,1716
Cobb,2016-06,1944
Cobb,2016-07,1727
Cobb,2016-08,1674
Cobb,2016-09,1541
Cobb,2016-10,1372
Cobb,2016-11,1316
Cobb,2016-12,1470
Cobb,2017-01,1064
Cobb,2017-02,1166
Cobb,2017-03,1563
Cobb,2017-04,1501
Cobb,2017-05,1953
Cobb,2017-06,1966
Cobb,2017-07,1694
Cobb,2017-08,1799
Cobb,2017-09,1436
Cobb,2017-10,1415
Cobb,2017-11,1414
Cobb,2017-12,1477
Cobb,2018-01,1137
Cobb,2018-02,1167
Cobb,2018-03,1619
Cobb,2018-04,1773
Cobb,2018-05,1943
Cobb,2018-06,2019
Cobb,2018-07,1910
Cobb,2018-08,1959
Cobb,2018-09,1495
Cobb,2018-10,1559
Cobb,2018-11,1365
Cobb,2018-12,1341
Cobb,2019-01,1057
Cobb,2019-02,1163
Cobb,2019-03,1565
Cobb,2019-04,1530
Cobb,2019-05,1906
Cobb,2019-06,1994
Cobb,2019-07,2015
Cobb,2019-08,1838
Cobb,2019-09,1670
Cobb,2019-10,1728
Cobb,2019-11,1441
Cobb,2019-12,1611
Cobb,2020-01,1103
Cobb,2020-02,1111
Cobb,2020-03,1518
Cobb,2020-04,1338
Cobb,2020-05,1139
Cobb,2020-06,1608
Cobb,2020-07,1929
Cobb,2020-08,1756
Cobb,2020-09,1807
Cobb,2020-10,1821
Cobb,2020-11,1698
Cobb,2020-12,1965
Cobb,2021-01,1230
Cobb,2021-02,1266
Cobb,2021-03,1913
Cobb,2021-04,1864
Cobb,2021-05,1787
Cobb,2021-06,2238
Cobb,2021-07,2083
Cobb,2021-08,2043
Cobb,2021-09,1958
Cobb,2021-10,1873
Cobb,2021-11,1752
Cobb,2021-12,1916
Cobb,2022-01,1284
Cobb,2022-02,1294
Cobb,2022-03,1911
Cobb,2022-04,1804
Cobb,2022-05,1810
Cobb,2022-06,1850
Cobb,2022-07,1695
Cobb,2022-08,1607
Cobb,2022-09,1364
Cobb,2022-10,1298
Cobb,2022-11,1058
Cobb,2022-12,1072
Cobb,2023-01,664
Cobb,2023-02,790
Cobb,2023-03,1247
Cobb,2023-04,1061
Cobb,2023-05,1339
Cobb,2023-06,1247
Cobb,2023-07,1128
Cobb,2023-08,1206
Cobb,2023-09,887
Cobb,2023-10,972
Cobb,2023-11,863
Cobb,2023-12,925
Cobb,2024-01,821
Cobb,2024-02,977
Cobb,2024-03,1074
Cobb,2024-04,1168
Cobb,2024-05,1273
Cobb,2024-06,1189
Cobb,2024-07,1230
Cobb,2024-08,1082
Cobb,2024-09,921
Cobb,2024-10,1039
Cobb,2024-11,926
Cobb,2024-12,1070
Cobb,2025-01,830
Cobb,2025-02,856
Cobb,2025-03,1081
Cobb,2025-04,1123
Cobb,2025-05,1227
Cobb,2025-06,1272
Cobb,2025-07,1191
Cobb,2025-08,1063
Cobb,2025-09,1307
Cobb,2025-10,1148
Cobb,2025-11,782
Cobb,2025-12,1942
DeKalb,2013-01,1256
DeKalb,2013-02,1103
DeKalb,2013-03,1277
DeKalb,2013-04,1418
DeKalb,2013-05,1432
DeKalb,2013-06,1567
DeKalb,2013-07,1629
DeKalb,2013-08,1453
DeKalb,2013-09,1361
DeKalb,2013-10,1287
DeKalb,2013-11,1117
DeKalb,2013-12,1216
DeKalb,2014-01,1048
DeKalb,2014-02,1087
DeKalb,2014-03,1392
DeKalb,2014-04,1403
DeKalb,2014-05,1529
DeKalb,2014-06,1611
DeKalb,2014-07,1657
DeKalb,2014-08,1515
DeKalb,2014-09,1450
DeKalb,2014-10,1275
DeKalb,2014-11,929
DeKalb,2014-12,1204
DeKalb,2015-01,965
DeKalb,2015-02,994
DeKalb,2015-03,1368
DeKalb,2015-04,1452
DeKalb,2015-05,1444
DeKalb,2015-06,1697
DeKalb,2015-07,1617
DeKalb,2015-08,1451
DeKalb,2015-09,1395
DeKalb,2015-10,1141
DeKalb,2015-11,1102
DeKalb,2015-12,1301
DeKalb,2016-01,1019
DeKalb,2016-02,1051
DeKalb,2016-03,1417
DeKalb,2016-04,1512
DeKalb,2016-05,1614
DeKalb,2016-06,1776
DeKalb,2016-07,1527
DeKalb,2016-08,1669
DeKalb,2016-09,1466
DeKalb,2016-10,1394
DeKalb,2016-11,1301
DeKalb,2016-12,1444
DeKalb,2017-01,1039
DeKalb,2017-02,1132
DeKalb,2017-03,1611
DeKalb,2017-04,1435
DeKalb,2017-05,1877
DeKalb,2017-06,1827
DeKalb,2017-07,1498
DeKalb,2017-08,1572
DeKalb,2017-09,1364
DeKalb,2017-10,1297
DeKalb,2017-11,1359
DeKalb,2017-12,1419
DeKalb,2018-01,1158
DeKalb,2018-02,1167
DeKalb,2018-03,1533
DeKalb,2018-04,1602
DeKalb,2018-05,1827
DeKalb,2018-06,1805
DeKalb,2018-07,1726
DeKalb,2018-08,2333
DeKalb,2018-09,1454
DeKalb,2018-10,1551
DeKalb,2018-11,1340
DeKalb,2018-12,1422
DeKalb,2019-01,1062
DeKalb,2019-02,1112
DeKalb,2019-03,1553
DeKalb,2019-04,1619
DeKalb,2019-05,1789
DeKalb,2019-06,1615
DeKalb,2019-07,1713
DeKalb,2019-08,1685
DeKalb,2019-09,1516
DeKalb,2019-10,1705
DeKalb,2019-11,1358
DeKalb,2019-12,1644
DeKalb,2020-01,1161
DeKalb,2020-02,1411
DeKalb,2020-03,1538
DeKalb,2020-04,1350
DeKalb,2020-05,1184
DeKalb,2020-06,1588
DeKalb,2020-07,1827
DeKalb,2020-08,1605
DeKalb,2020-09,1679
DeKalb,2020-10,1809
DeKalb,2020-11,1558
DeKalb,2020-12,1895
DeKalb,2021-01,1358
DeKalb,2021-02,1384
DeKalb,2021-03,1903
DeKalb,2021-04,1820
DeKalb,2021-05,1941
DeKalb,2021-06,1951
DeKalb,2021-07,1805
DeKalb,2021-08,1837
DeKalb,2021-09,1725
DeKalb,2021-10,1770
DeKalb,2021-11,1701
DeKalb,2021-12,1676
DeKalb,2022-01,1517
DeKalb,2022-02,1596
DeKalb,2022-03,1953
DeKalb,2022-04,1911
DeKalb,2022-05,1950
DeKalb,2022-06,2056
DeKalb,2022-07,1639
DeKalb,2022-08,1599
DeKalb,2022-09,1440
DeKalb,2022-10,1250
DeKalb,2022-11,1080
DeKalb,2022-12,972
DeKalb,2023-01,791
DeKalb,2023-02,959
DeKalb,2023-03,1306
DeKalb,2023-04,1115
DeKalb,2023-05,1353
DeKalb,2023-06,1190
DeKalb,2023-07,945
DeKalb,2023-08,1261
DeKalb,2023-09,1065
DeKalb,2023-10,1031
DeKalb,2023-11,885
DeKalb,2023-12,931
DeKalb,2024-01,769
DeKalb,2024-02,856
DeKalb,2024-03,1098
DeKalb,2024-04,1215
DeKalb,2024-05,1263
DeKalb,2024-06,1007
DeKalb,2024-07,1122
DeKalb,2024-08,1136
DeKalb,2024-09,895
DeKalb,2024-10,1023
DeKalb,2024-11,789
DeKalb,2024-12,1017
DeKalb,2025-01,732
DeKalb,2025-02,887
DeKalb,2025-03,1079
DeKalb,2025-04,1153
DeKalb,2025-05,1210
DeKalb,2025-06,1212
DeKalb,2025-07,1198
DeKalb,2025-08,1054
DeKalb,2025-09,1281
DeKalb,2025-10,1014
DeKalb,2025-11,757
DeKalb,2025-12,1446
Douglas,2013-01,247
Douglas,2013-02,245
Douglas,2013-03,210
Douglas,2013-04,298
Douglas,2013-05,253
Douglas,2013-06,232
Douglas,2013-07,250
Douglas,2013-08,239
Douglas,2013-09,252
Douglas,2013-10,248
Douglas,2013-11,193
Douglas,2013-12,235
Douglas,2014-01,174
Douglas,2014-02,214
Douglas,2014-03,214
Douglas,2014-04,242
Douglas,2014-05,258
Douglas,2014-06,245
Douglas,2014-07,283
Douglas,2014-08,257
Douglas,2014-09,230
Douglas,2014-10,206
Douglas,2014-11,174
Douglas,2014-12,188
Douglas,2015-01,163
Douglas,2015-02,164
Douglas,2015-03,212
Douglas,2015-04,235
Douglas,2015-05,206
Douglas,2015-06,275
Douglas,2015-07,260
Douglas,2015-08,233
Douglas,2015-09,257
Douglas,2015-10,195
Douglas,2015-11,169
Douglas,2015-12,236
Douglas,2016-01,237
Douglas,2016-02,219
Douglas,2016-03,238
Douglas,2016-04,270
Douglas,2016-05,285
Douglas,2016-06,305
Douglas,2016-07,263
Douglas,2016-08,277
Douglas,2016-09,258
Douglas,2016-10,264
Douglas,2016-11,238
Douglas,2016-12,230
Douglas,2017-01,189
Douglas,2017-02,190
Douglas,2017-03,285
Douglas,2017-04,196
Douglas,2017-05,337
Douglas,2017-06,347
Douglas,2017-07,274
Douglas,2017-08,321
Douglas,2017-09,241
Douglas,2017-10,303
Douglas,2017-11,237
Douglas,2017-12,269
Douglas,2018-01,224
Douglas,2018-02,210
Douglas,2018-03,324
Douglas,2018-04,284
Douglas,2018-05,360
Douglas,2018-06,355
Douglas,2018-07,331
Douglas,2018-08,394
Douglas,2018-09,344
Douglas,2018-10,335
Douglas,2018-11,286
Douglas,2018-12,280
Douglas,2019-01,259
Douglas,2019-02,245
Douglas,2019-03,298
Douglas,2019-04,347
Douglas,2019-05,344
Douglas,2019-06,368
Douglas,2019-07,361
Douglas,2019-08,366
Douglas,2019-09,355
Douglas,2019-10,364
Douglas,2019-11,304
Douglas,2019-12,329
Douglas,2020-01,257
Douglas,2020-02,285
Douglas,2020-03,360
Douglas,2020-04,262
Douglas,2020-05,242
Douglas,2020-06,345
Douglas,2020-07,367
Douglas,2020-08,336
Douglas,2020-09,369
Douglas,2020-10,369
Douglas,2020-11,304
Douglas,2020-12,446
Douglas,2021-01,285
Douglas,2021-02,302
Douglas,2021-03,411
Douglas,2021-04,449
Douglas,2021-05,431
Douglas,2021-06,477
Douglas,2021-07,437
Douglas,2021-08,499
Douglas,2021-09,456
Douglas,2021-10,461
Douglas,2021-11,437
Douglas,2021-12,460
Douglas,2022-01,342
Douglas,2022-02,375
Douglas,2022-03,494
Douglas,2022-04,513
Douglas,2022-05,442
Douglas,2022-06,466
Douglas,2022-07,379
Douglas,2022-08,410
Douglas,2022-09,358
Douglas,2022-10,301
Douglas,2022-11,240
Douglas,2022-12,237
Douglas,2023-01,187
Douglas,2023-02,213
Douglas,2023-03,286
Douglas,2023-04,235
Douglas,2023-05,243
Douglas,2023-06,204
Douglas,2023-07,235
Douglas,2023-08,218
Douglas,2023-09,232
Douglas,2023-10,261
Douglas,2023-11,226
Douglas,2023-12,218
Douglas,2024-01,205
Douglas,2024-02,184
Douglas,2024-03,197
Douglas,2024-04,229
Douglas,2024-05,241
Douglas,2024-06,215
Douglas,2024-07,265
Douglas,2024-08,240
Douglas,2024-09,206
Douglas,2024-10,239
Douglas,2024-11,186
Douglas,2024-12,198
Douglas,2025-01,165
Douglas,2025-02,184
Douglas,2025-03,201
Douglas,2025-04,210
Douglas,2025-05,203
Douglas,2025-06,199
Douglas,2025-07,248
Douglas,2025-08,207
Douglas,2025-09,278
Douglas,2025-10,176
Douglas,2025-11,180
Douglas,2025-12,247
Fayette,2013-01,157
Fayette,2013-02,157
Fayette,2013-03,193
Fayette,2013-04,217
Fayette,2013-05,251
Fayette,2013-06,266
Fayette,2013-07,290
Fayette,2013-08,264
Fayette,2013-09,194
Fayette,2013-10,221
Fayette,2013-11,172
Fayette,2013-12,187
Fayette,2014-01,157
Fayette,2014-02,168
Fayette,2014-03,177
Fayette,2014-04,203
Fayette,2014-05,270
Fayette,2014-06,257
Fayette,2014-07,306
Fayette,2014-08,250
Fayette,2014-09,247
Fayette,2014-10,194
Fayette,2014-11,189
Fayette,2014-12,202
Fayette,2015-01,170
Fayette,2015-02,160
Fayette,2015-03,221
Fayette,2015-04,215
Fayette,2015-05,260
Fayette,2015-06,315
Fayette,2015-07,268
Fayette,2015-08,252
Fayette,2015-09,242
Fayette,2015-10,226
Fayette,2015-11,172
Fayette,2015-12,200
Fayette,2016-01,162
Fayette,2016-02,175
Fayette,2016-03,269
Fayette,2016-04,247
Fayette,2016-05,275
Fayette,2016-06,336
Fayette,2016-07,300
Fayette,2016-08,327
Fayette,2016-09,226
Fayette,2016-10,207
Fayette,2016-11,192
Fayette,2016-12,229
Fayette,2017-01,172
Fayette,2017-02,189
Fayette,2017-03,248
Fayette,2017-04,245
Fayette,2017-05,317
Fayette,2017-06,300
Fayette,2017-07,305
Fayette,2017-08,289
Fayette,2017-09,233
Fayette,2017-10,231
Fayette,2017-11,201
Fayette,2017-12,229
Fayette,2018-01,181
Fayette,2018-02,191
Fayette,2018-03,282
Fayette,2018-04,303
Fayette,2018-05,317
Fayette,2018-06,347
Fayette,2018-07,324
Fayette,2018-08,330
Fayette,2018-09,255
Fayette,2018-10,253
Fayette,2018-11,218
Fayette,2018-12,239
Fayette,2019-01,175
Fayette,2019-02,192
Fayette,2019-03,236
Fayette,2019-04,305
Fayette,2019-05,313
Fayette,2019-06,336
Fayette,2019-07,319
Fayette,2019-08,339
Fayette,2019-09,287
Fayette,2019-10,278
Fayette,2019-11,222
Fayette,2019-12,292
Fayette,2020-01,184
Fayette,2020-02,217
Fayette,2020-03,289
Fayette,2020-04,246
Fayette,2020-05,218
Fayette,2020-06,320
Fayette,2020-07,302
Fayette,2020-08,387
Fayette,2020-09,357
Fayette,2020-10,358
Fayette,2020-11,303
Fayette,2020-12,333
Fayette,2021-01,260
Fayette,2021-02,255
Fayette,2021-03,306
Fayette,2021-04,332
Fayette,2021-05,336
Fayette,2021-06,376
Fayette,2021-07,391
Fayette,2021-08,364
Fayette,2021-09,314
Fayette,2021-10,312
Fayette,2021-11,292
Fayette,2021-12,337
Fayette,2022-01,218
Fayette,2022-02,263
Fayette,2022-03,323
Fayette,2022-04,320
Fayette,2022-05,358
Fayette,2022-06,385
Fayette,2022-07,361
Fayette,2022-08,331
Fayette,2022-09,309
Fayette,2022-10,234
Fayette,2022-11,242
Fayette,2022-12,310
Fayette,2023-01,172
Fayette,2023-02,164
Fayette,2023-03,239
Fayette,2023-04,207
Fayette,2023-05,243
Fayette,2023-06,174
Fayette,2023-07,263
Fayette,2023-08,238
Fayette,2023-09,185
Fayette,2023-10,161
Fayette,2023-11,161
Fayette,2023-12,163
Fayette,2024-01,151
Fayette,2024-02,147
Fayette,2024-03,171
Fayette,2024-04,171
Fayette,2024-05,205
Fayette,2024-06,187
Fayette,2024-07,235
Fayette,2024-08,176
Fayette,2024-09,130
Fayette,2024-10,150
Fayette,2024-11,166
Fayette,2024-12,142
Fayette,2025-01,112
Fayette,2025-02,146
Fayette,2025-03,170
Fayette,2025-04,174
Fayette,2025-05,198
Fayette,2025-06,210
Fayette,2025-07,179
Fayette,2025-08,203
Fayette,2025-09,225
Fayette,2025-10,189
Fayette,2025-11,154
Fayette,2025-12,233
Forsyth,2013-01,381
Forsyth,2013-02,393
Forsyth,2013-03,502
Forsyth,2013-04,620
Forsyth,2013-05,575
Forsyth,2013-06,647
Forsyth,2013-07,739
Forsyth,2013-08,670
Forsyth,2013-09,573
Forsyth,2013-10,651
Forsyth,2013-11,571
Forsyth,2013-12,543
Forsyth,2014-01,446
Forsyth,2014-02,461
Forsyth,2014-03,586
Forsyth,2014-04,635
Forsyth,2014-05,754
Forsyth,2014-06,877
Forsyth,2014-07,791
Forsyth,2014-08,744
Forsyth,2014-09,690
Forsyth,2014-10,647
Forsyth,2014-11,540
Forsyth,2014-12,607
Forsyth,2015-01,500
Forsyth,2015-02,439
Forsyth,2015-03,638
Forsyth,2015-04,696
Forsyth,2015-05,712
Forsyth,2015-06,802
Forsyth,2015-07,784
Forsyth,2015-08,758
Forsyth,2015-09,715
Forsyth,2015-10,622
Forsyth,2015-11,554
Forsyth,2015-12,654
Forsyth,2016-01,465
Forsyth,2016-02,496
Forsyth,2016-03,716
Forsyth,2016-04,696
Forsyth,2016-05,860
Forsyth,2016-06,942
Forsyth,2016-07,816
Forsyth,2016-08,855
Forsyth,2016-09,702
Forsyth,2016-10,657
Forsyth,2016-11,615
Forsyth,2016-12,673
Forsyth,2017-01,434
Forsyth,2017-02,428
Forsyth,2017-03,640
Forsyth,2017-04,587
Forsyth,2017-05,819
Forsyth,2017-06,875
Forsyth,2017-07,775
Forsyth,2017-08,721
Forsyth,2017-09,616
Forsyth,2017-10,595
Forsyth,2017-11,636
Forsyth,2017-12,715
Forsyth,2018-01,494
Forsyth,2018-02,477
Forsyth,2018-03,674
Forsyth,2018-04,687
Forsyth,2018-05,943
Forsyth,2018-06,886
Forsyth,2018-07,848
Forsyth,2018-08,818
Forsyth,2018-09,658
Forsyth,2018-10,697
Forsyth,2018-11,661
Forsyth,2018-12,601
Forsyth,2019-01,467
Forsyth,2019-02,482
Forsyth,2019-03,681
Forsyth,2019-04,745
Forsyth,2019-05,794
Forsyth,2019-06,852
Forsyth,2019-07,835
Forsyth,2019-08,737
Forsyth,2019-09,685
Forsyth,2019-10,583
Forsyth,2019-11,602
Forsyth,2019-12,678
Forsyth,2020-01,455
Forsyth,2020-02,551
Forsyth,2020-03,648
Forsyth,2020-04,578
Forsyth,2020-05,477
Forsyth,2020-06,760
Forsyth,2020-07,910
Forsyth,2020-08,921
Forsyth,2020-09,842
Forsyth,2020-10,783
Forsyth,2020-11,691
Forsyth,2020-12,816
Forsyth,2021-01,583
Forsyth,2021-02,573
Forsyth,2021-03,791
Forsyth,2021-04,826
Forsyth,2021-05,845
Forsyth,2021-06,916
Forsyth,2021-07,881
Forsyth,2021-08,877
Forsyth,2021-09,813
Forsyth,2021-10,759
Forsyth,2021-11,647
Forsyth,2021-12,766
Forsyth,2022-01,551
Forsyth,2022-02,552
Forsyth,2022-03,667
Forsyth,2022-04,710
Forsyth,2022-05,778
Forsyth,2022-06,830
Forsyth,2022-07,700
Forsyth,2022-08,691
Forsyth,2022-09,577
Forsyth,2022-10,477
Forsyth,2022-11,398
Forsyth,2022-12,412
Forsyth,2023-01,264
Forsyth,2023-02,384
Forsyth,2023-03,488
Forsyth,2023-04,498
Forsyth,2023-05,535
Forsyth,2023-06,459
Forsyth,2023-07,488
Forsyth,2023-08,442
Forsyth,2023-09,425
Forsyth,2023-10,418
Forsyth,2023-11,363
Forsyth,2023-12,358
Forsyth,2024-01,327
Forsyth,2024-02,377
Forsyth,2024-03,435
Forsyth,2024-04,467
Forsyth,2024-05,501
Forsyth,2024-06,466
Forsyth,2024-07,569
Forsyth,2024-08,487
Forsyth,2024-09,346
Forsyth,2024-10,484
Forsyth,2024-11,354
Forsyth,2024-12,441
Forsyth,2025-01,316
Forsyth,2025-02,296
Forsyth,2025-03,386
Forsyth,2025-04,433
Forsyth,2025-05,455
Forsyth,2025-06,510
Forsyth,2025-07,438
Forsyth,2025-08,284
Forsyth,2025-09,466
Forsyth,2025-10,440
Forsyth,2025-11,338
Forsyth,2025-12,502
Fulton,2013-01,1875
Fulton,2013-02,1675
Fulton,2013-03,1949
Fulton,2013-04,2467
Fulton,2013-05,2410
Fulton,2013-06,2572
Fulton,2013-07,2678
Fulton,2013-08,2528
Fulton,2013-09,2300
